,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
130,Bobby Gates,87,71.208,300.2,58.60,65.39,-.262,-.003,-.265,338,1,,"$525,293",2012
131,Rocco Mediate,70,71.218,280.7,62.22,64.84,-.012,-.096,-.108,195,,,"$242,354",2012
132,James Driscoll,83,71.246,291.1,51.32,62.38,.434,-.493,-.059,413,2,,"$687,338",2012
133,Troy Matteson,100,71.247,298.9,52.67,64.01,.136,-.187,-.051,"1,190",3,,"$1,198,953",2012
134,Jason Bohn,81,71.248,279.2,65.00,64.59,-.037,-.144,-.180,363,3,,"$795,549",2012
135,David Mathis,83,71.333,278.1,63.22,61.04,.338,-.443,-.105,322,2,,"$736,765",2012
136,Chez Reavie,83,71.334,282.5,68.57,66.13,-.206,.160,-.045,327,,,"$580,617",2012
137,Kevin Kisner,69,71.342,287.9,61.10,62.48,.303,-.442,-.139,248,1,,"$346,216",2012
138,Robert Allenby,76,71.355,286.7,59.34,65.79,-.428,-.198,-.626,417,2,,"$808,927",2012
139,Matt Jones,53,71.367,293.7,55.49,64.74,-.090,-.467,-.557,143,1,,"$300,254",2012
140,Trevor Immelman,76,71.370,290.9,59.70,63.45,-.122,.487,.365,423,,,"$617,296",2012
141,Mark Wilson,84,71.375,276.0,68.62,64.03,-.102,-.143,-.245,"1,049",3,1,"$2,144,780",2012
142,Gavin Coles,72,71.397,271.2,65.08,64.23,.591,-.880,-.289,184,,,"$247,561",2012
143,Charlie Beljan,61,71.401,311.6,58.19,66.46,-.421,-.064,-.485,222,3,1,"$1,373,528",2012
144,Jhonattan Vegas,77,71.440,304.6,53.09,66.07,-.035,-.352,-.387,361,2,,"$801,803",2012
145,Jason Kokrak,79,71.445,304.1,53.92,66.00,-.184,-.263,-.447,165,2,,"$750,221",2012
146,Mathew Goggin,65,71.449,290.8,57.86,67.30,-.242,-.084,-.327,103,,,"$259,604",2012
147,Robert Karlsson,54,71.453,294.7,55.22,63.25,-.531,.062,-.469,239,,,"$393,340",2012
148,Stewart Cink,71,71.483,288.8,53.43,64.26,.301,-.529,-.228,310,,,"$477,173",2012
149,Chris DiMarco,83,71.488,273.0,69.24,60.55,-.113,-.364,-.477,316,1,,"$468,298",2012
150,Scott Stallings,78,71.490,302.4,58.10,66.38,-.405,.081,-.323,781,3,1,"$1,293,739",2012
151,Erik Compton,81,71.499,297.2,58.33,62.48,.092,-.609,-.517,311,,,"$359,765",2012
152,J.J. Killeen,101,71.502,289.9,56.09,60.27,-.107,-.342,-.449,286,1,,"$414,257",2012
153,Stephen Ames,54,71.511,283.7,61.88,62.18,-.255,-.651,-.906,142,,,"$193,686",2012
154,Troy Kelly,68,71.531,299.5,52.60,63.17,.050,-.742,-.692,462,1,,"$786,832",2012
155,Tommy Gainey,98,71.540,297.2,55.63,62.30,.113,-.630,-.517,631,2,1,"$1,540,749",2012
156,Andres Romero,68,71.543,292.0,54.90,61.30,-.223,-.187,-.409,506,2,,"$970,919",2012
157,Gary Woodland,70,71.552,301.6,54.55,64.01,-.497,.204,-.293,321,1,,"$592,879",2012
158,D.J. Trahan,73,71.563,292.2,61.33,65.94,-.579,-.147,-.726,243,2,,"$611,142",2012
159,Nick O'Hern,78,71.579,268.9,63.34,63.29,-.392,-.096,-.489,250,1,,"$489,375",2012
160,Ãngel Cabrera,54,71.581,299.7,57.02,63.33,-.217,-.234,-.451,177,,,"$283,385",2012
161,Justin Leonard,79,71.583,279.4,60.34,60.44,-.325,-.290,-.615,277,2,,"$540,155",2012
162,Steve Wheatcroft,56,71.584,286.9,62.37,66.22,.040,-.546,-.506,92,,,"$135,196",2012
163,Sangmoon Bae,81,71.629,289.8,58.08,59.81,.128,-1.181,-1.053,608,2,,"$1,165,952",2012
164,Arjun Atwal,79,71.634,285.1,61.12,63.85,-.217,-.443,-.660,181,1,,"$348,770",2012
165,Roland Thatcher,55,71.646,288.9,62.19,67.80,-.514,-.644,-1.158,188,1,,"$396,801",2012
166,Scott Dunlap,57,71.653,281.4,64.66,67.21,-.688,.089,-.600,77,,,"$230,220",2012
167,Mark Anderson,75,71.692,295.7,52.23,63.85,-.133,-.742,-.875,209,1,,"$441,019",2012
168,"Ted Potter, Jr.",77,71.710,284.5,64.18,63.32,.073,-.896,-.823,652,1,1,"$1,383,170",2012
169,Cameron Beckman,81,71.726,285.2,61.67,65.30,-.353,-.336,-.689,154,,,"$287,506",2012
170,Harrison Frazar,56,71.739,297.7,54.68,61.21,.023,-.575,-.551,387,2,,"$730,203",2012
171,Colt Knost,79,71.798,272.5,68.00,62.12,.184,-1.165,-.981,390,2,,"$848,197",2012
172,Scott Brown,65,71.835,291.2,60.22,64.50,-.468,-.303,-.771,212,3,,"$478,763",2012
173,Daniel Chopra,55,71.872,295.6,47.27,59.80,.331,-1.010,-.679,70,,,"$192,198",2012
174,Brendon Todd,78,71.873,283.6,58.77,60.00,.427,-1.617,-1.190,281,1,,"$474,295",2012
175,Derek Lamely,64,71.876,289.1,52.08,60.30,.636,-1.671,-1.035,160,,,"$185,479",2012
176,Brendan Steele,77,71.887,288.8,63.44,65.30,-.112,-.405,-.517,334,3,,"$840,965",2012
177,Miguel Angel Carballo,73,71.918,289.5,57.88,64.79,-.294,-.876,-1.170,213,,,"$269,980",2012
178,Edward Loar,59,71.922,295.6,56.01,62.05,.145,-1.263,-1.118,43,,,"$97,947",2012
179,Patrick Sheehan,58,71.950,279.3,60.11,62.93,-.149,-1.113,-1.261,108,,,"$129,590",2012
180,Ryuji Imada,78,71.978,276.4,56.13,60.60,.351,-1.262,-.910,113,1,,"$238,648",2012
181,Alexandre Rocha,62,72.039,284.6,63.47,66.87,-.232,-.624,-.856,183,2,,"$614,658",2012
182,Michael Bradley,63,72.059,284.5,51.88,65.35,-.189,-.765,-.954,173,,,"$191,746",2012
183,Billy Hurley III,70,72.116,275.3,60.56,57.74,.276,-1.600,-1.324,256,2,,"$474,130",2012
184,Tom Pernice Jr.,62,72.137,273.9,61.26,61.69,-.318,-.809,-1.127,139,1,,"$189,907",2012
185,Matt Bettencourt,80,72.182,288.2,52.29,58.95,-.201,-1.061,-1.262,177,1,,"$335,076",2012
186,Kyle Thompson,51,72.296,284.2,62.65,64.78,-1.209,-.189,-1.398,44,,,"$45,460",2012
187,Marco Dawson,60,72.304,285.9,56.04,62.76,-.235,-.980,-1.215,43,,,"$79,727",2012
188,Tommy Biershenk,74,72.494,285.4,57.22,59.89,.224,-1.451,-1.227,73,,,"$107,266",2012
189,Sung Kang,75,72.571,285.7,57.53,59.15,.051,-1.812,-1.761,146,,,"$169,439",2012
190,Stephen Gangluff,57,72.995,291.5,49.93,59.15,-.243,-1.716,-1.959,3,,,"$58,702",2012
0,Steve Stricker,51,68.893,283.6,70.65,71.16,.720,1.474,2.193,"2,650",8,,"$4,440,532",2013
1,Tiger Woods,61,68.944,293.2,62.50,67.59,.426,1.637,2.064,"2,743",8,5,"$8,553,439",2013
2,Justin Rose,62,69.225,296.6,63.57,68.89,-.188,1.912,1.723,"1,300",7,1,"$4,146,148",2013
3,Henrik Stenson,65,69.248,290.9,70.09,71.96,.004,1.614,1.618,"4,750",8,2,"$6,388,230",2013
4,Adam Scott,61,69.300,297.8,61.84,68.80,-.027,1.337,1.310,"2,278",6,2,"$4,892,611",2013
5,Sergio Garcia,65,69.543,291.0,61.28,67.46,.591,.928,1.519,635,6,,"$2,251,139",2013
6,Matt Kuchar,93,69.561,284.9,58.93,65.84,.398,.999,1.398,"1,823",8,2,"$5,616,808",2013
7,Charl Schwartzel,69,69.651,296.1,59.87,65.85,.301,.967,1.268,490,5,,"$2,256,723",2013
8,Jordan Spieth,82,69.668,289.4,67.80,66.94,.182,1.291,1.473,"1,690",9,1,"$3,879,820",2013
9,Keegan Bradley,88,69.724,300.6,62.82,66.54,.250,1.153,1.403,693,7,,"$3,636,813",2013
10,Jason Day,86,69.732,299.3,58.03,64.93,.370,.606,.976,698,7,,"$3,625,030",2013
11,Phil Mickelson,78,69.742,287.9,57.30,66.67,.661,.775,1.436,"1,313",7,2,"$5,495,793",2013
12,Webb Simpson,92,69.783,285.4,63.30,66.67,.313,.958,1.271,"1,050",5,,"$2,957,582",2013
13,Brandt Snedeker,79,69.791,281.3,62.57,65.68,.692,.449,1.141,853,9,2,"$5,318,087",2013
14,Luke Donald,60,69.793,278.1,62.87,62.16,.528,.752,1.279,483,5,,"$1,930,646",2013
15,Jim Furyk,80,69.828,275.3,70.47,68.30,.092,1.297,1.389,758,7,,"$3,204,779",2013
16,Jason Dufner,78,69.912,285.9,64.81,67.53,-.231,.812,.581,685,5,1,"$3,132,268",2013
17,Bill Haas,85,70.023,288.2,62.31,67.79,.266,.999,1.265,573,9,1,"$3,475,563",2013
18,Zach Johnson,84,70.073,278.8,69.68,68.14,.365,.479,.844,"2,238",8,1,"$4,044,509",2013
19,Graham DeLaet,94,70.089,298.6,65.80,70.51,.100,.969,1.069,"1,415",7,,"$2,834,900",2013
20,Hunter Mahan,91,70.106,290.0,66.61,67.58,.382,.752,1.134,653,5,,"$3,036,164",2013
21,Freddie Jacobson,63,70.108,287.3,56.26,61.67,.449,.626,1.075,821,3,,"$1,236,722",2013
22,Dustin Johnson,71,70.115,305.8,53.36,66.75,-.101,.906,.805,760,6,1,"$2,963,214",2013
23,Brendon de Jonge,110,70.154,286.3,66.28,68.84,.030,.725,.756,503,4,,"$1,795,244",2013
24,Lee Westwood,70,70.158,290.3,62.59,65.22,-.484,1.088,.604,"1,291",6,,"$2,081,731",2013
25,Ryan Palmer,79,70.167,301.5,57.69,66.24,.333,.550,.883,823,4,,"$1,521,592",2013
26,Chris Kirk,89,70.206,289.0,59.65,65.92,.456,.506,.962,"1,399",3,,"$1,728,616",2013
27,Rickie Fowler,75,70.212,286.4,62.27,63.59,.425,.358,.783,"1,334",5,,"$1,816,742",2013
28,Billy Horschel,96,70.244,293.8,64.17,67.48,.381,.275,.656,728,8,1,"$3,501,703",2013
29,Matt Jones,83,70.245,292.3,64.74,66.00,.145,.740,.885,"1,419",5,,"$1,724,707",2013
30,Kevin Streelman,86,70.267,287.5,67.25,66.41,.246,.611,.858,553,5,1,"$3,088,284",2013
31,Charles Howell III,87,70.272,294.8,53.11,66.73,.438,.424,.862,"1,398",5,,"$1,877,389",2013
32,Bubba Watson,76,70.276,303.7,58.73,69.41,-.096,1.164,1.069,"1,365",3,,"$1,759,276",2013
33,Rory McIlroy,56,70.288,302.2,57.92,65.45,-.093,1.077,.985,"1,190",5,,"$1,802,443",2013
34,K.J. Choi,85,70.322,278.3,66.04,65.87,.337,.508,.845,816,2,,"$973,751",2013
35,Jimmy Walker,84,70.332,298.5,52.18,66.07,.276,.654,.930,"1,388",5,,"$2,117,570",2013
36,Bob Estes,66,70.361,285.0,63.11,64.90,.335,.424,.759,688,2,,"$769,717",2013
37,Peter Hanson,45,70.368,295.3,56.31,61.24,.484,.024,.508,356,1,,"$610,178",2013
38,Ian Poulter,59,70.382,281.7,62.42,63.52,.177,.337,.514,"1,133",4,,"$1,723,463",2013
39,Harris English,95,70.438,295.2,58.65,66.02,.477,.136,.613,"1,442",4,1,"$2,201,167",2013
40,Ernie Els,63,70.491,289.6,57.72,61.74,-.136,.444,.308,918,1,,"$1,173,761",2013
41,Roberto Castro,97,70.494,282.3,67.36,67.30,-.465,.931,.466,645,4,,"$2,154,898",2013
42,Charley Hoffman,84,70.497,294.0,59.57,65.48,.128,.450,.578,"1,016",5,,"$1,582,423",2013
43,Graeme McDowell,53,70.503,277.5,68.51,62.70,.136,.407,.543,"1,116",4,1,"$2,174,595",2013
44,Rory Sabbatini,86,70.511,293.1,59.72,67.75,-.274,.743,.469,"1,230",5,,"$1,327,822",2013
45,Bryce Molder,82,70.520,273.8,65.95,63.68,.594,-.090,.504,979,,,"$816,922",2013
46,Jerry Kelly,75,70.522,273.2,71.81,65.41,.198,.394,.592,650,2,,"$832,407",2013
47,Marc Leishman,77,70.532,286.6,58.77,65.08,.080,.237,.318,"1,071",4,,"$1,491,359",2013
48,Chris Stroud,88,70.546,277.0,62.40,64.33,.340,.276,.616,"1,245",4,,"$1,602,122",2013
49,Martin Kaymer,61,70.559,288.4,61.36,64.85,.137,-.003,.135,679,3,,"$882,937",2013
50,Russell Henley,80,70.570,289.0,64.68,64.25,.609,.145,.754,"1,238",3,1,"$2,008,026",2013
51,Camilo Villegas,79,70.586,291.8,58.56,66.74,-.149,.608,.458,695,2,,"$709,677",2013
52,Chez Reavie,72,70.600,282.8,70.29,66.74,-.009,.383,.375,439,,,"$590,925",2013
53,Boo Weekley,100,70.611,290.9,66.36,69.39,-.676,.774,.099,455,4,1,"$2,786,662",2013
54,Morgan Hoffmann,64,70.613,295.4,57.72,64.67,.193,.125,.318,444,3,,"$871,003",2013
55,"Ted Potter, Jr.",65,70.615,280.3,68.03,64.48,.247,.160,.406,518,2,,"$829,770",2013
56,Kevin Stadler,83,70.632,289.8,64.21,68.92,-.284,.751,.467,"1,412",3,,"$1,281,177",2013
57,Stewart Cink,71,70.633,290.0,57.19,67.76,-.238,.654,.416,783,3,,"$1,052,712",2013
58,Martin Flores,83,70.676,300.4,53.67,65.53,.080,.346,.426,630,2,,"$805,597",2013
59,Brian Davis,91,70.690,278.8,68.61,62.15,.232,.458,.689,"1,224",4,,"$1,221,524",2013
60,Tim Clark,64,70.693,273.9,70.31,62.02,.058,.086,.144,703,3,,"$1,355,952",2013
61,Cameron Tringale,80,70.724,287.2,62.89,67.01,.104,.239,.343,726,1,,"$971,209",2013
62,Gary Woodland,94,70.733,303.8,57.60,66.98,.062,.397,.459,603,2,1,"$1,915,732",2013
63,John Merrick,79,70.736,284.3,60.51,66.53,.063,.454,.517,"1,331",2,1,"$1,969,478",2013
64,David Hearn,88,70.738,279.7,62.08,64.71,.484,-.139,.345,"1,105",2,,"$1,171,515",2013
65,John Huh,88,70.758,282.0,68.53,66.60,-.227,.525,.298,"1,279",2,,"$1,529,482",2013
66,John Rollins,77,70.779,295.6,58.56,67.43,-.243,.470,.227,696,2,,"$1,164,049",2013
67,Nick Watney,88,70.780,291.2,62.40,68.48,.006,.506,.512,738,4,,"$2,477,639",2013
68,Patrick Reed,83,70.807,292.0,56.13,63.79,.350,-.227,.122,"1,125",5,1,"$1,961,519",2013
69,Daniel Summerhays,83,70.813,285.7,62.08,64.46,.221,.232,.453,"1,307",4,,"$1,277,886",2013
70,Ryan Moore,72,70.825,282.3,68.44,64.32,-.028,.377,.350,"1,185",3,,"$1,490,265",2013
71,Stuart Appleby,88,70.834,284.7,62.53,65.21,.353,-.112,.241,570,1,,"$538,333",2013
72,Pat Perez,69,70.835,290.1,61.35,67.87,-.039,.323,.284,549,4,,"$974,800",2013
73,Justin Leonard,86,70.863,276.3,64.36,63.11,.348,-.233,.115,644,1,,"$694,139",2013
74,Jeff Overton,78,70.863,292.4,57.83,64.89,.315,.011,.327,506,2,,"$721,723",2013
75,Ben Crane,62,70.864,281.0,60.94,63.98,.024,.175,.199,369,2,,"$796,947",2013
76,Brian Stuard,78,70.869,281.8,65.99,65.77,.067,-.135,-.068,598,4,,"$1,032,028",2013
77,George McNeill,68,70.876,286.0,65.62,65.28,-.028,.213,.185,524,,,"$500,798",2013
78,James Driscoll,76,70.888,287.1,53.89,63.81,.650,-.261,.389,524,2,,"$821,101",2013
79,Ãngel Cabrera,73,70.897,294.0,56.19,64.99,.069,-.006,.063,956,2,,"$1,791,183",2013
80,Vaughn Taylor,50,70.897,289.8,65.32,63.53,.103,-.141,-.038,246,1,,"$399,286",2013
81,Josh Teater,86,70.904,293.7,60.77,66.53,.022,.316,.338,726,3,,"$1,332,652",2013
82,Richard Lee,81,70.912,279.1,66.95,66.52,.564,-.251,.313,569,2,,"$920,836",2013
83,Mark Wilson,56,70.916,278.0,70.74,66.24,-.210,.510,.300,476,3,,"$913,730",2013
84,Nicholas Thompson,99,70.920,291.6,64.74,67.85,-.281,.505,.225,"1,043",2,,"$959,434",2013
85,Jason Kokrak,78,70.924,303.2,53.17,65.67,-.119,.309,.190,"1,013",4,,"$1,267,525",2013
86,Kevin Chappell,80,70.927,292.9,61.52,66.11,-.338,.722,.384,"1,237",3,,"$1,589,839",2013
87,John Senden,79,70.970,289.3,60.57,65.95,-.138,.216,.078,498,,,"$667,027",2013
88,J.J. Henry,83,70.992,284.7,64.93,67.97,.146,-.074,.072,516,2,,"$761,861",2013
89,Vijay Singh,61,70.995,288.1,62.31,69.13,-.876,.851,-.025,291,,,"$309,351",2013
90,David Lingmerth,68,70.996,285.8,64.87,63.24,-.009,.024,.015,806,3,,"$1,748,109",2013
91,William McGirt,75,71.000,281.8,62.30,65.33,.229,-.161,.068,533,2,,"$867,384",2013
92,Erik Compton,74,71.011,292.7,56.89,65.09,.234,-.427,-.193,547,1,,"$651,660",2013
93,David Lynn,70,71.016,277.9,59.27,62.48,.432,-.071,.361,"1,204",2,,"$1,633,253",2013
94,Padraig Harrington,52,71.017,288.3,58.39,60.88,-.131,.042,-.089,345,3,,"$711,244",2013
95,Matt Every,89,71.023,288.1,58.94,65.54,-.092,.385,.293,"1,097",4,,"$1,188,867",2013
96,Ken Duke,87,71.025,275.1,69.28,63.09,-.026,-.040,-.065,930,2,1,"$1,722,583",2013
97,Martin Laird,68,71.029,293.4,60.78,63.64,-.127,.136,.009,814,2,1,"$1,755,393",2013
98,Jim Herman,59,71.045,299.2,62.71,67.98,-.229,.282,.053,325,2,,"$490,756",2013
99,Brendan Steele,86,71.053,290.7,61.56,65.99,.028,-.005,.023,876,2,,"$1,004,161",2013
100,Robert Garrigus,69,71.058,302.4,55.37,66.15,-.437,.553,.116,601,2,,"$1,132,355",2013
101,Bo Van Pelt,72,71.080,285.9,63.80,65.63,-.181,.111,-.070,612,1,,"$956,629",2013
102,Brad Fritsch,81,71.085,297.0,58.06,66.59,-.212,.166,-.046,350,1,,"$452,184",2013
103,Nicolas Colsaerts,50,71.088,305.7,53.80,66.78,-.579,.311,-.268,353,3,,"$720,164",2013
104,Robert Streb,75,71.089,297.7,59.57,65.57,.000,-.231,-.231,359,,,"$454,871",2013
105,Jason Bohn,70,71.101,276.3,65.74,64.44,.185,-.217,-.033,454,2,,"$739,030",2013
106,Cameron Percy,68,71.106,293.6,59.28,65.74,.121,-.288,-.167,230,,,"$277,336",2013
107,Jonas Blixt,76,71.110,283.7,56.54,60.89,.312,-.715,-.403,"1,135",2,1,"$2,027,517",2013
108,Sangmoon Bae,83,71.111,285.3,58.39,63.72,.371,-.488,-.116,918,2,1,"$1,714,640",2013
109,Shawn Stefani,63,71.114,297.2,54.97,63.67,.338,-.573,-.235,333,2,,"$511,399",2013
110,D.A. Points,87,71.116,281.1,63.48,62.77,-.161,.160,.000,453,3,1,"$2,658,887",2013
111,David Toms,49,71.134,277.4,66.50,63.64,-.379,-.301,-.679,326,1,,"$646,161",2013
112,Scott Stallings,79,71.135,295.7,58.73,64.63,.146,-.381,-.235,991,4,,"$1,622,627",2013
113,Justin Hicks,79,71.138,280.0,69.61,68.59,-.219,.080,-.139,451,1,,"$732,742",2013
114,Luke Guthrie,82,71.139,283.5,61.24,63.62,-.205,.219,.015,607,2,,"$991,902",2013
115,Brian Gay,79,71.160,275.1,64.79,56.68,.428,-.694,-.266,"1,099",1,1,"$1,426,017",2013
116,Tag Ridings,69,71.162,299.6,53.38,65.81,.053,-.224,-.171,295,1,,"$428,922",2013
117,Charlie Wi,75,71.174,282.1,63.02,60.56,.176,-.427,-.251,401,1,,"$656,672",2013
118,Brandt Jobe,62,71.175,292.1,64.78,66.00,-.002,.123,.121,283,,,"$309,105",2013
119,D.H. Lee,65,71.187,280.9,66.23,65.98,.037,-.213,-.176,432,3,,"$882,793",2013
120,Jeff Maggert,63,71.208,277.6,68.83,66.58,-.316,.049,-.267,453,2,,"$1,022,331",2013
121,James Hahn,78,71.222,293.3,58.58,64.71,.002,-.070,-.067,480,2,,"$853,507",2013
122,Greg Chalmers,77,71.228,276.8,62.80,61.64,.857,-.890,-.033,558,2,,"$632,283",2013
123,Chad Campbell,78,71.234,288.9,60.70,67.03,-.249,.205,-.044,330,1,,"$510,661",2013
124,Scott Brown,65,71.250,289.5,62.32,64.10,-.217,.151,-.067,628,1,1,"$1,012,142",2013
125,Andres Romero,63,71.256,293.1,57.35,61.30,.117,-.317,-.200,430,2,,"$718,507",2013
126,Scott Langley,79,71.269,278.9,62.45,64.00,.040,-.211,-.171,426,1,,"$590,684",2013
127,Carl Pettersson,82,71.273,290.2,59.43,62.22,-.028,-.101,-.129,516,1,,"$738,143",2013
128,Scott Piercy,78,71.273,298.2,53.57,62.30,-.184,.100,-.083,"1,193",4,,"$1,830,084",2013
129,Brian Harman,89,71.290,287.5,60.64,62.61,.147,-.443,-.296,578,2,,"$909,759",2013
130,Dicky Pride,71,71.293,274.8,65.24,64.43,-.011,-.350,-.361,293,2,,"$495,390",2013
131,Michael Thompson,66,71.298,279.4,61.39,61.78,-.120,-.391,-.511,938,3,1,"$1,707,637",2013
132,Doug LaBelle II,72,71.317,280.1,67.42,64.37,.545,-.932,-.386,290,,,"$338,921",2013
133,FabiÃ¡n GÃ³mez,65,71.330,289.5,61.88,64.10,.124,-.372,-.248,339,1,,"$586,942",2013
134,Steven Bowditch,67,71.335,300.2,53.04,61.97,-.046,-.283,-.329,400,1,,"$697,775",2013
135,Ricky Barnes,74,71.341,289.4,60.31,70.48,-.584,.306,-.278,342,,,"$553,878",2013
136,Y.E. Yang,56,71.348,286.7,62.79,62.70,-.069,-.504,-.573,182,,,"$259,118",2013
137,Henrik Norlander,70,71.360,295.0,60.13,67.40,-.160,-.094,-.254,229,,,"$401,958",2013
138,D.J. Trahan,48,71.429,293.4,63.54,67.87,-.247,-.285,-.531,169,1,,"$284,249",2013
139,Bud Cauley,67,71.445,287.5,59.16,63.76,-.570,.323,-.247,343,,,"$443,698",2013
140,Stephen Ames,49,71.454,280.7,58.53,61.11,.713,-1.297,-.584,182,,,"$188,987",2013
141,Tim Herron,45,71.479,283.6,52.24,59.75,-.041,-.296,-.338,190,,,"$302,570",2013
142,Robert Karlsson,56,71.482,287.2,60.19,63.14,-.337,.051,-.286,236,1,,"$444,238",2013
143,Ben Kohles,75,71.488,279.0,67.78,65.26,.051,-.509,-.459,286,1,,"$419,416",2013
144,Trevor Immelman,73,71.491,283.6,61.19,66.51,-.365,.074,-.291,295,1,,"$360,549",2013
145,Aaron Baddeley,68,71.503,288.5,50.71,58.00,.661,-.979,-.319,526,2,,"$721,024",2013
146,Ryo Ishikawa,72,71.515,291.3,55.48,66.03,-.683,.136,-.547,298,1,,"$424,541",2013
147,Ben Curtis,59,71.531,274.9,60.55,63.84,.211,-.458,-.248,251,,,"$372,543",2013
148,Steve LeBrun,66,71.551,294.1,60.16,67.47,-.181,-.217,-.398,270,,,"$337,157",2013
149,Greg Owen,73,71.554,292.8,59.76,65.73,-.669,.054,-.615,336,,,"$442,198",2013
150,Tom Gillis,69,71.559,286.3,64.75,60.68,.173,-.716,-.543,264,,,"$345,325",2013
151,Lucas Glover,65,71.577,293.7,61.62,66.41,-.851,.765,-.086,454,2,,"$747,812",2013
152,Geoff Ogilvy,57,71.588,285.1,60.94,62.18,-.337,-.311,-.649,522,1,,"$892,920",2013
153,Seung-Yul Noh,71,71.625,298.8,51.50,64.26,-.463,-.009,-.472,226,1,,"$391,763",2013
154,Mike Weir,60,71.643,270.5,55.07,56.90,.288,-1.059,-.771,173,,,"$194,510",2013
155,Casey Wittenberg,72,71.659,280.5,54.61,62.14,.254,-.874,-.620,199,1,,"$425,395",2013
156,Andrew Svoboda,46,71.747,290.1,60.91,65.91,.067,-.629,-.562,89,,,"$77,219",2013
157,Aaron Watkins,46,71.770,277.1,63.03,62.25,.402,-.991,-.589,126,1,,"$217,495",2013
158,Jin Park,52,71.777,273.2,68.82,63.44,-.027,-.485,-.512,125,,,"$136,457",2013
159,Lee Williams,62,71.792,275.6,59.76,61.67,-.427,-.364,-.790,134,,,"$133,755",2013
160,Charlie Beljan,62,71.839,295.4,59.86,64.61,-.205,-.320,-.524,459,1,,"$916,229",2013
161,Kyle Stanley,71,71.842,298.1,59.54,67.37,-.683,.351,-.332,759,3,,"$1,462,943",2013
162,Will Claxton,67,71.889,284.9,62.80,65.70,-.709,-.095,-.804,186,,,"$206,722",2013
163,Troy Matteson,68,71.889,294.1,55.39,64.81,.003,-.614,-.610,194,,,"$245,090",2013
164,Tommy Gainey,84,71.892,291.0,56.34,61.04,.089,-.870,-.781,324,1,,"$520,479",2013
165,Rod Pampling,46,71.943,282.6,62.35,64.55,-.564,-.293,-.857,109,,,"$110,451",2013
166,Darron Stiles,51,71.947,275.1,67.64,62.24,-.427,-.484,-.912,125,,,"$184,866",2013
167,Alistair Presnell,59,71.951,284.6,58.01,62.28,-.020,-1.010,-1.030,140,,,"$163,134",2013
168,Johnson Wagner,64,72.013,278.6,58.69,64.35,.271,-1.217,-.946,430,2,,"$801,955",2013
169,Justin Bolli,59,72.034,279.1,61.36,61.11,.038,-1.270,-1.232,278,2,,"$545,187",2013
170,Robert Allenby,58,72.056,284.9,57.87,62.40,-.337,-.522,-.859,129,1,,"$204,272",2013
171,Scott Gardiner,61,72.082,288.4,58.52,64.12,-.330,-.649,-.979,161,,,"$219,645",2013
172,Sean O'Hair,56,72.107,299.7,55.66,62.00,-.277,-.745,-1.022,183,,,"$268,614",2013
173,David Mathis,71,72.222,280.6,62.42,63.60,-.448,-.701,-1.149,197,1,,"$274,477",2013
174,Colt Knost,69,72.264,271.7,66.48,61.71,.435,-1.714,-1.279,130,,,"$176,710",2013
175,Derek Ernst,58,72.271,291.5,60.49,63.89,-.216,-.859,-1.075,598,1,1,"$1,330,856",2013
176,Michael Bradley,56,72.345,285.3,55.46,66.13,-.450,-.869,-1.319,74,,,"$79,107",2013
177,Eric Meierdierks,48,72.414,301.9,57.50,66.55,-.978,-.499,-1.476,72,,,"$58,029",2013
178,Luke List,65,72.444,306.3,45.58,62.39,-.267,-1.077,-1.344,202,,,"$264,401",2013
179,Bobby Gates,49,72.590,296.2,51.59,62.84,.011,-1.408,-1.398,144,1,,"$320,248",2013
0,Rory McIlroy,66,68.827,310.5,59.93,69.44,.274,1.992,2.266,"3,050",12,3,"$8,280,096",2014
1,Sergio Garcia,61,68.950,294.3,62.19,68.68,.167,1.818,1.984,815,10,,"$4,939,606",2014
2,Jim Furyk,84,69.200,279.3,73.18,68.75,.091,1.705,1.796,"2,450",11,,"$5,987,395",2014
3,Adam Scott,68,69.205,303.5,61.51,68.79,.220,1.500,1.720,835,10,1,"$4,098,588",2014
4,Matt Kuchar,91,69.416,283.8,67.37,66.92,.457,1.117,1.573,"1,300",11,1,"$4,695,515",2014
5,Dustin Johnson,58,69.546,311.0,57.18,68.03,.082,1.249,1.331,210,7,1,"$4,249,180",2014
6,Justin Rose,70,69.624,295.1,59.92,66.91,-.040,1.506,1.466,850,8,1,"$3,926,768",2014
7,Jason Day,54,69.626,301.2,58.72,64.00,.317,1.073,1.389,"1,200",6,1,"$3,789,574",2014
8,Graeme McDowell,66,69.642,278.0,69.20,65.77,.882,.289,1.171,"1,256",8,,"$2,077,387",2014
9,Charl Schwartzel,64,69.671,297.8,59.45,63.53,.055,1.286,1.341,"1,405",5,,"$1,997,482",2014
10,Bubba Watson,76,69.712,314.3,60.47,67.96,-.050,1.402,1.352,"2,285",8,2,"$6,336,978",2014
11,Jimmy Walker,98,69.789,301.0,51.67,67.59,.479,.774,1.253,"1,668",10,3,"$5,787,016",2014
12,Graham DeLaet,80,69.943,303.4,62.07,70.68,-.093,1.262,1.168,"1,553",7,,"$2,616,518",2014
