,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,POINTS,TOP 10,1ST,MONEY,Year
154,Matt Bettencourt,91,71.575,294.0,57.16,60.17,.368,-.853,-.487,472,1,1,"855,901",2010
155,Omar Uresti,74,71.579,272.0,76.08,68.22,-.757,.243,-.512,192,1,,"283,455",2010
156,Brian Stuard,81,71.595,286.9,63.09,65.04,.289,-1.033,-.746,226,1,,"536,497",2010
157,Cameron Tringale,55,71.598,294.5,58.71,70.18,-.711,.243,-.465,107,,,"302,618",2010
158,Mathias Gr̦nberg,61,71.614,293.7,64.28,66.77,-.184,-.099,-.286,198,1,,"322,130",2010
159,Cameron Percy,73,71.622,294.0,58.93,70.42,-.491,.255,-.236,206,1,,"620,262",2010
160,Skip Kendall,58,71.640,279.5,69.63,62.56,.333,-1.168,-.832,159,1,,"304,439",2010
161,Derek Lamely,81,71.666,294.0,54.84,61.93,.020,-.611,-.592,487,1,1,"972,961",2010
162,Mathew Goggin,85,71.672,289.3,65.24,69.74,-.377,-.122,-.501,267,1,,"483,537",2010
163,David Duval,71,71.688,286.9,57.08,66.10,.120,-.397,-.278,431,2,,"919,584",2010
164,Bill Lunde,79,71.688,288.9,60.71,65.85,-.012,-.461,-.466,449,3,1,"1,075,874",2010
165,John Daly,63,71.697,305.7,52.21,65.66,-.653,-.335,-.989,97,,,"158,587",2010
166,Henrik Bjornstad,72,71.722,288.1,64.74,69.11,-.211,-.416,-.626,188,,,"215,913",2010
167,Rich Barcelo,70,71.751,287.6,52.80,61.72,.144,-.668,-.520,187,,,"188,892",2010
168,Greg Owen,69,71.770,291.4,61.46,69.00,-.641,-.108,-.745,184,,,"268,835",2010
169,Nicholas Thompson,88,71.815,289.2,64.04,67.86,-.885,.011,-.875,284,1,,"546,476",2010
170,Roland Thatcher,72,71.820,288.0,60.04,65.90,-.384,-.408,-.788,142,2,,"796,157",2010
171,Ted Purdy,86,71.824,290.8,60.61,63.96,-.114,-.784,-.892,244,,,"307,677",2010
172,Martin Flores,75,71.882,300.7,50.15,64.79,-.106,-.776,-.883,137,1,,"318,673",2010
173,Brenden Pappas,66,71.966,288.4,54.94,66.49,-.091,-.637,-.731,89,,,"133,584",2010
