,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,SCRAMBLING_%,GIR_%,SG_TEE,SG_APPROACH,SG_SCRAMBLE,SG_PUTTING,SG_TOTAL,POINTS,TOP 10,1ST,MONEY,Year
94,Ben Curtis,66,70.839,276.7,71.91,61.58,65.82,-0.046,-0.063,0.06,0.239,0.19,304,0,0,423466,2011
95,Ryan Palmer,82,70.847,299.5,53.76,59.96,63.75,-0.06,-0.064,0.047,-0.047,-0.125,1159,3,0,1850530,2011
96,Sung Kang,63,70.84899999999999,294.2,61.82,56.68,64.78,0.135,-0.003,-0.27399999999999997,-0.042,-0.184,219,2,0,702382,2011
97,Shane Bertsch,62,70.869,280.1,67.05,59.33,64.38,-0.245,0.19899999999999998,0.267,0.146,0.36700000000000005,207,2,0,488584,2011
98,D.J. Trahan,91,70.87,298.6,59.81,58.27,68.99,0.565,0.405,0.015,-0.815,0.16899999999999998,474,1,0,668166,2011
99,Michael Bradley,74,70.877,290.7,57.03,51.72,67.62,-0.5720000000000001,0.44799999999999995,0.23399999999999999,-0.196,-0.086,454,1,1,935934,2011
100,Harrison Frazar,58,70.891,301.8,51.49,54.08,62.45,0.259,-0.025,-0.114,-0.386,-0.266,713,1,1,1322267,2011
101,David Mathis,83,70.899,282.0,66.82,60.81,64.29,-0.091,0.003,-0.032,0.215,0.095,326,1,0,715404,2011
102,Chris DiMarco,93,70.90899999999999,277.9,66.67,60.47,65.11,-0.313,0.38299999999999995,0.053,-0.145,-0.021,499,0,0,761932,2011
103,Vaughn Taylor,89,70.90899999999999,284.1,64.22,58.46,66.04,-0.294,0.191,0.027999999999999997,0.153,0.077,397,0,0,423907,2011
104,Robert Garrigus,83,70.931,313.4,52.97,53.56,66.13,0.662,0.28,-0.419,-0.384,0.139,759,3,0,1503923,2011
105,Michael Thompson,79,70.942,291.0,60.14,60.75,65.3,-0.335,-0.321,0.156,0.44799999999999995,-0.052000000000000005,413,2,0,935265,2011
106,Woody Austin,59,70.943,287.6,66.21,63.92,66.88,-0.149,0.588,0.011000000000000001,0.037000000000000005,0.48700000000000004,221,1,0,354042,2011
107,Marc Leishman,87,70.94800000000001,296.0,54.41,58.53,64.43,-0.11599999999999999,0.034,0.207,-0.099,0.026000000000000002,947,2,0,916330,2011
108,Kris Blanks,92,70.952,284.9,63.11,57.94,68.89,-0.078,0.5760000000000001,0.095,-0.44,0.152,694,3,0,1350010,2011
109,Jhonattan Vegas,84,70.96600000000001,304.9,54.65,54.66,67.22,0.507,-0.24600000000000002,-0.11699999999999999,-0.315,-0.172,1149,3,1,1854414,2011
110,Heath Slocum,89,70.988,281.9,74.92,54.53,71.4,0.192,0.33899999999999997,-0.07400000000000001,-0.493,-0.036000000000000004,388,0,0,767216,2011
111,Michael Putnam,67,70.98899999999999,297.2,54.72,58.17,64.37,0.02,-0.418,-0.187,0.423,-0.162,300,0,0,398400,2011
112,Graeme McDowell,50,70.997,289.5,66.31,54.01,66.08,0.301,0.028999999999999998,-0.265,0.132,0.19699999999999998,765,3,0,1088898,2011
113,Kent Jones,76,71.001,285.0,66.13,54.5,66.12,-0.059000000000000004,-0.008,-0.13699999999999998,0.027999999999999997,-0.177,297,0,0,360624,2011
114,Justin Leonard,82,71.002,280.1,65.29,61.97,64.91,-0.257,-0.07,0.33799999999999997,-0.11,-0.099,328,1,0,952962,2011
115,Brendan Steele,89,71.01899999999999,292.8,64.83,54.53,65.45,0.11800000000000001,0.209,-0.273,-0.06,-0.006,1160,3,1,1976310,2011
116,Camilo Villegas,69,71.024,294.4,57.98,55.99,62.5,-0.125,0.39899999999999997,0.01,-0.19399999999999998,0.091,1532,4,0,1231918,2011
117,Scott Stallings,84,71.036,303.7,56.91,53.52,66.6,0.44299999999999995,0.244,-0.475,-0.154,0.059000000000000004,1125,2,1,1957162,2011
118,Bill Lunde,92,71.046,291.5,61.11,56.7,69.38,0.156,0.027000000000000003,-0.126,0.003,0.06,668,0,0,639548,2011
119,Josh Teater,104,71.057,302.3,61.48,54.45,66.89,0.632,-0.39,-0.068,-0.08900000000000001,0.085,513,2,0,769324,2011
120,Ernie Els,71,71.062,288.1,60.1,51.07,69.89,0.121,0.635,0.109,-0.705,0.16,924,1,0,948872,2011
121,Charley Hoffman,93,71.097,299.8,60.34,53.64,66.79,0.45299999999999996,0.2,0.129,-0.256,0.525,1369,2,0,1462591,2011
122,Ryuji Imada,83,71.115,283.4,60.36,58.8,64.26,-0.21100000000000002,-0.085,0.337,-0.157,-0.11699999999999999,617,2,0,990319,2011
123,Steve Flesch,88,71.119,282.5,61.43,57.0,59.85,-0.46,-0.36700000000000005,0.253,0.32,-0.255,352,1,0,594622,2011
124,Stephen Ames,69,71.12100000000001,283.8,67.44,60.59,65.3,-0.131,0.028999999999999998,-0.171,0.012,-0.262,298,2,0,547589,2011
125,Scott McCarron,65,71.127,291.6,64.63,60.56,60.75,0.18100000000000002,-1.24,0.193,0.519,-0.34700000000000003,221,1,0,436270,2011
126,Tom Gillis,55,71.134,290.1,64.11,55.86,66.36,0.076,-0.212,-0.001,-0.436,-0.573,431,2,0,814147,2011
127,Chris Riley,76,71.143,279.3,70.19,61.62,64.81,-0.087,-0.301,0.59,-0.292,-0.091,292,1,0,397204,2011
128,Paul Stankowski,78,71.165,283.9,59.05,59.42,65.2,-0.529,-0.013999999999999999,0.19899999999999998,0.324,-0.02,207,0,0,290211,2011
129,Boo Weekley,66,71.176,296.6,66.74,52.85,71.68,0.6829999999999999,0.49200000000000005,-0.35700000000000004,-1.1,-0.282,223,0,0,279531,2011
